hidden_layer_sizes,activation,learning_rate_init,alpha,max_iter,fitness
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.1,0.018543343023255332,1500,0.8754433442282228
"(16,)",logistic,0.015061491521416994,0.02403132286454174,500,0.8836907953149306
"(16,)",tanh,0.002254583017417931,0.004676924625455377,1000,0.8743410695465847
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.0010350145443305068,0.002396367560205552,500,0.8260023263881751
"(16,)",tanh,0.030253312879887133,0.013420128499939891,1500,0.8791395031322127
"(8,)",logistic,0.0030243689295130745,0.12895262045191191,1500,0.7856890120792673
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.07507143649674816,0.005096495574107349,500,0.8771127345555982
"(8,)",tanh,0.01804073927372443,0.05246715475496164,1500,0.8743202340440156
"(16,)",logistic,0.0013584589886602,0.034856048805292396,1000,0.7785332934384636
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.013439339752002519,0.019574900356538878,500,0.8760941832981874
"(8,)",tanh,0.014021594635361926,0.005617983308051199,1000,0.8767548248629999
"(8,)",logistic,0.0001,0.011161973591032572,1000,0.08959382698981103
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.009841668028142249,0.007292938410134503,1500,0.871130239480119
"(8,)",tanh,0.1,0.011670825819165212,1000,0.8818066861197605
"(8,)",tanh,0.1,0.051635525069709164,1000,0.8717028968568388
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.0218772093880846,0.015150966584064467,1500,0.872923855941939
"(8,)",tanh,0.026322365366414427,0.003304613267458359,1000,0.8731417249435518
"(8,)",tanh,0.029154750025470823,0.012387143535895727,1000,0.8883130052215226
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.009421166764652142,0.04144673816373429,1000,0.8706500775610391
"(8,)",tanh,0.05148096282080438,0.01274664802005582,1500,0.8877233260403642
